name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Budapest, MagyarorszГЎg",2020-02-06,4.1,-0.8,2.1,0.1,-5.6,-2.4,-4.7,61.3,0,0,0,,0,0,43.2,27.3,316.4,1026.7,34.8,10,57.2,5,3,,2020-02-06T07:04:15,2020-02-06T16:52:01,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-07,8.1,2.1,4.7,4.8,-1.7,1.1,-0.6,68.5,0,0,0,,0,0,42,23.5,323.7,1026.1,44.9,10,65.8,5.5,4,,2020-02-07T07:02:49,2020-02-07T16:53:35,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-08,5.1,-3,0.8,3.4,-4.8,-1.2,-9.8,46.7,0,0,0,,0,0,28.8,11.3,133.4,1032.3,24.6,10,75.8,6.4,4,,2020-02-08T07:01:21,2020-02-08T16:55:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-09,9,-4.3,1.9,7.1,-6.9,-0.9,-5.8,57.8,0,0,0,,0,0,29.8,14.7,120,1028,24.9,10,83.3,7.1,4,,2020-02-09T06:59:52,2020-02-09T16:56:45,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-10,15.1,3,8.2,15.1,0.1,6.3,1.9,65.5,0.411,100,4.17,rain,0,0,57.6,36.4,227.3,1009.5,70.1,10,44.8,3.9,3,,2020-02-10T06:58:21,2020-02-10T16:58:19,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999,C5468"
"Budapest, MagyarorszГЎg",2020-02-11,10.1,2,6.1,10.1,-0.4,3.4,-0.4,65.8,10.497,100,8.33,rain,0,0,76.8,51.3,286.9,1006.6,50.6,10,94,8,5,,2020-02-11T06:56:48,2020-02-11T16:59:54,0.53,"Rain, Partially cloudy",Clearing in the afternoon with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-12,7.3,0.4,4.2,4.2,-2.6,0.9,-2.1,65.9,0.187,100,8.33,"rain,snow",0,0,51.9,28.4,271.6,1016.8,60.7,10,78.2,6.7,4,,2020-02-12T06:55:14,2020-02-12T17:01:28,0.57,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999,C5468"
"Budapest, MagyarorszГЎg",2020-02-13,9,1.2,4.7,7.3,-1.6,2.3,-0.6,69.6,0.004,100,4.17,rain,0,0,25.2,14.9,213.6,1020.6,45.4,10,95,8.1,5,,2020-02-13T06:53:39,2020-02-13T17:03:02,0.62,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-14,9.7,4.3,6.6,7.2,2.7,4.8,2.8,77.9,1.36,100,8.33,rain,0,0,39.6,21.7,282.5,1016.4,68.5,9.8,59.3,5.1,3,,2020-02-14T06:52:02,2020-02-14T17:04:37,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-15,9,2.1,5.3,7.7,0.2,3.5,1.8,78.4,0,0,0,,0,0,28.8,14.1,47.7,1028.4,41.1,9.8,102.2,8.9,5,,2020-02-15T06:50:24,2020-02-15T17:06:11,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-16,11.4,-0.5,5.1,11.4,-2.7,3.4,1.3,78,0,0,0,,0,0,32.4,16.1,131.8,1029.3,49.6,8,73.6,6.3,4,,2020-02-16T06:48:44,2020-02-16T17:07:44,0.78,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-17,12.1,2,6.4,12.1,-0.1,4.9,2.2,75.6,0,0,0,,0,0,28.8,11.7,81.8,1022.1,86.4,9.9,84.7,7.2,4,,2020-02-17T06:47:04,2020-02-17T17:09:18,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-18,12.4,3.2,7.8,12.4,2.4,6.8,1.2,64.8,0,0,0,,0,0,52.5,25.9,313.3,1023.2,31.5,9.3,60.8,5.2,4,,2020-02-18T06:45:22,2020-02-18T17:10:51,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999,C5468"
"Budapest, MagyarorszГЎg",2020-02-19,9.4,-1.8,5.1,7.8,-1.8,3.9,-0.8,66.4,0,0,0,,0,0,38.3,18,261.1,1022.3,50.8,10,64.1,5.5,3,,2020-02-19T06:43:39,2020-02-19T17:12:25,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
